Be cool.	Entspann dich!
We need to call the police.	Wir müssen die Polizei holen.
We need to get rid of that.	Wir müssen uns das vom Hals schaffen.
We only have one more left.	Wir haben nur noch einen übrig.
We painted the house green.	Wir haben das Haus grün angestrichen.
We took a walk in the park.	Wir sind im Park spazieren gegangen.
We're going to the theater.	Wir wollen ins Theater.
What are you and Tom up to?	Was haben du und Tom vor?
What are you doing tonight?	Was macht ihr heute Abend?
What are you lining up for?	Wofür stehen Sie an?
What did you do after that?	Was hast du danach getan?
What do you know about him?	Was weißt du über ihn?
What do you think it's for?	Für was denkst du, ist es?
What do you want to do now?	Was willst du jetzt tun?
What is your date of birth?	Was ist dein Geburtsdatum?
What's your favorite color?	Was ist deine Lieblingsfarbe?
What's your favorite sport?	Was ist dein Lieblingssport?
Why are we going to Boston?	Warum fahren wir nach Boston?
Why won't you listen to me?	Warum willst du nicht auf mich hören?
Will you eat a little cake?	Wie wäre es mit einem Stückchen Kuchen?
Will you give me some time?	Werdet ihr mir ein wenig Zeit geben?
Will you tell him I called?	Sagst du ihm, dass ich angerufen habe?
Wouldn't that be fantastic?	Wäre das nicht fantastisch?
You can't run forever, Tom.	Du kannst nicht ewig davonlaufen, Tom!
You don't have to thank us.	Sie brauchen sich bei uns nicht zu bedanken.
You had better tell me now.	Du solltest es mir besser jetzt sagen.
You have a very nice smile.	Sie haben ein sehr schönes Lächeln.
You must never forget that.	Das darfst du nie vergessen!
You should call the police.	Sie sollten die Polizei rufen!
You shouldn't give up hope.	Man darf nie die Hoffnung aufgeben.
You very nearly guessed it.	Du hättest es fast erraten.
You're not sleepy, are you?	Du bist doch wohl nicht müde, oder?
You've got to see her home.	Ihr müsst ihr Heim sehen.
You've lost too much blood.	Sie haben zu viel Blut verloren.
Your dreams will come true.	Deine Träume werden in Erfüllung gehen.
Your earrings are gorgeous.	Tolle Ohrringe!
Your name isn't Tom, is it?	Dein Name ist nicht Tom, oder?
How did it go? "Not well."	„Wie ist es gelaufen?“ – „Nicht gut.“
A pound is a unit of weight.	Ein Pfund ist eine Gewichtseinheit.
Apparently, the bus is late.	Anscheinend hat der Bus Verspätung.
Are those people terrorists?	Sind diese Leute Terroristen?
Are you guys still together?	Seid ihr noch zusammen?
Are you still angry with me?	Bist du mir noch böse?
Are you talking to yourself?	Führst du Selbstgespräche?
Be more careful from now on.	Sei von jetzt an vorsichtiger.
Both you and I are students.	Wir sind beide Studenten.
Can someone help us, please?	Kann uns jemand bitte helfen?
Children are full of energy.	Kinder sind voller Energie.
Could you solve the problem?	Könnten Sie das Problem lösen?
Did that really just happen?	Ist das wirklich gerade passiert?
Did you learn that from Tom?	Hast du das von Tom erfahren?
Did you learn that from Tom?	Habt ihr das von Tom erfahren?
Did you read the whole book?	Hast du das ganze Buch gelesen?
Did you see Tom in the park?	Haben Sie Tom im Park gesehen?
Did you tell Tom about this?	Hat Tom dir davon erzählt?
Do what Tom tells you to do.	Tu, was Tom dir sagt!
Do you have any last wishes?	Haben Sie noch irgendeinen letzten Wunsch?
Do you have any soft drinks?	Habt ihr nichtalkoholische Getränke?
Do you have this in my size?	Hab ihr das in meiner Größe?
Do you hear what I'm saying?	Hörst du, was ich sage?
Do you know what's going on?	Weißt du, was hier vorgeht?
Do you still love your wife?	Lieben Sie Ihre Frau noch?
Do you want to look at this?	Willst du dir das ansehen?
Does Tom know you're coming?	Weiß Tom, dass du kommst?
Does that make a difference?	Ist das von Belang?
Don't expect too much of me.	Erwarten Sie nicht zu viel von mir.
Don't talk in the classroom.	Rede nicht im Klassenzimmer.
Don't you want a cup of tea?	Willst du nicht eine Tasse Tee?
Everything's going to be OK.	Alles wird gut werden.
Give me two pieces of chalk.	Gib mir zwei Stück Kreide.
Has something else happened?	Ist sonst noch was passiert?
Has your father arrived yet?	Ist euer Vater schon angekommen?
Have a nice summer vacation.	Schöne Sommerferien!
Have you been busy recently?	Hast du dieser Tage viel zu tun?
He came a little after noon.	Er kam kurz nach Mittag.
He came back after two days.	Er kam nach zwei Tagen zurück.
He deals fairly with people.	Er geht mit Menschen gerecht um.
He didn't dare say anything.	Er traute sich nicht, etwas zu sagen.
He doesn't care about money.	Er macht sich nichts aus Geld.
He hid behind the black car.	Er versteckte sich hinter dem schwarzen Auto.
He insisted that I join him.	Er bestand darauf, dass ich mich ihm anschlösse.
He is a very careful driver.	Er ist ein sehr vorsichtiger Fahrer.
He is always neatly dressed.	Er ist immer ordentlich gekleidet.
He keeps a diary in English.	Er führt ein Tagebuch auf Englisch.
He runs a company in Meguro.	Er leitet eine Firma in Meguro.
He was hurt in the accident.	Er wurde bei dem Unfall verletzt.
He was pleasantly surprised.	Er war angenehm überrascht.
He will be here all evening.	Er wird heute Abend bestimmt die ganze Zeit hier sein.
His performance was amazing.	Sein Auftritt war toll.
His story is partially true.	Seine Geschichte ist teilweise wahr.
How are you getting on, Tom?	Wie kommst du voran, Tom?
How did you figure that out?	Wie habt ihr das herausgefunden?
How did you kill the guards?	Wie hast du die Wachen getötet?
How did you like the picnic?	Wie hat dir das Picknick gefallen?
How do I get to the airport?	Wie komme ich zum Flughafen?
How do you like my new suit?	Wie findest du meinen neuen Anzug?
How long has Tom lived here?	Wie lange hat Tom hier gelebt?
How long have you been busy?	Wie lange warst du beschäftigt?
How long will you stay here?	Wie lange bleibst du hier?
How naive do you think I am?	Für wie naiv halten Sie mich eigentlich?
How naive do you think I am?	Für wie naiv haltet ihr mich eigentlich?
I almost had a heart attack.	Ich hätte fast einen Herzinfarkt erlitten.
I asked Tom where he'd gone.	Ich fragte Tom, wohin er gegangen sei.
I can only speak for myself.	Ich kann nur für mich sprechen.
I can speak a little French.	Ich spreche ein bisschen Französisch.
I can still hear your voice.	Ich kann deine Stimme immer noch hören.
I can teach you how to read.	Ich kann dich das Lesen lehren.
I can teach you how to sing.	Ich kann dir beibringen, wie man singt.
I can't do this without you.	Ich schaffe das nicht ohne dich.
I can't imagine such a life.	Ein solches Leben kann ich mir nicht vorstellen.
I can't really discuss that.	Darüber kann ich eigentlich nicht reden.
I can't talk about this now.	Ich kann jetzt nicht darüber sprechen.
I can't think of everything.	Ich kann nicht an alles denken.
I didn't do anything to you.	Ich habe dir nichts getan.
I don't drink a lot of beer.	Ich trinke nicht viel Bier.
I don't have any more money.	Ich habe nicht mehr Geld.
I don't know what Tom wants.	Ich weiß nicht, was Tom will.
I don't know why I'm scared.	Ich weiß nicht, warum ich mich fürchte.
I don't know, nor do I care.	Ich weiß es nicht, noch kümmert's mich.
I don't think Tom is coming.	Ich glaube nicht, dass Tom kommt.
I don't want to go with you.	Ich möchte nicht mit dir gehen.
I don't want to talk to you.	Ich möchte nicht mit euch sprechen.
I forgot my wife's birthday.	Ich habe den Geburtstag meiner Frau vergessen.
I got caught in a rainstorm.	Ich geriet in einen Regenschauer.
I have a suggestion for you.	Ich habe einen Vorschlag für dich.
I haven't been out for ages.	Ich bin schon seit Ewigkeiten nicht mehr außer Haus gewesen.
I haven't met him even once.	Ich bin ihm noch kein einziges Mal begegnet.
I haven't paid the fine yet.	Ich habe die Strafe noch nicht bezahlt.
I hope that he will help me.	Ich hoffe, dass er mir hilft.
I know what Tom is thinking.	Ich weiß, was Tom denkt.
I know what Tom needs to do.	Ich weiß, was Tom tun muss.
I know you miss your family.	Ich weiß, dass du deine Familie vermisst.
I learned a valuable lesson.	Ich lernte eine wertvolle Lektion.
I need a box about this big.	Ich brauche eine Kiste von etwa dieser Größe.
I need to go back to Boston.	Ich muss nach Boston zurück.
I painted a picture for you.	Ich malte ein Bild für dich.
I really should have called.	Ich hätte eigentlich anrufen sollen.
I saw a strange woman there.	Ich habe dort eine fremde Frau gesehen.
I should make a reservation.	Ich sollte reservieren lassen.
I should tell Tom I'm tired.	Ich sollte Tom wissen lassen, dass ich müde bin.
I should tell Tom to try it.	Ich sollte Tom sagen, er soll es versuchen.
I slept the rest of the day.	Ich habe den Rest des Tages geschlafen.
I started to prepare myself.	Ich begann, mich vorzubereiten.
I still want to talk to you.	Ich möchte immer noch mit Ihnen reden.
I think we have enough time.	Ich glaube, wir haben genug Zeit.
I thought that he was angry.	Ich dachte, dass er wütend war.
I thought that was the case.	Ich nahm an, dass das der Fall war.
I told him about our school.	Ich erzählte ihm von unserer Schule.
I want to know what love is.	Ich möchte wissen, was Liebe ist.
I want to learn how to swim.	Ich will Schwimmen lernen.
I warmed myself in the bath.	Ich habe mich im Bad aufgewärmt.
I was suddenly very worried.	Ich geriet plötzlich in große Sorge.
I wasn't able to rent a car.	Es ist mir nicht gelungen, ein Auto zu mieten.
I will call on him tomorrow.	Ich werde morgen bei ihm vorbeischauen.
I will not be busy tomorrow.	Ich werde morgen nicht viel zu tun haben.
I wish you were close to me.	Ich wünschte, ihr wäret in meiner Nähe!
I'd like to say a few words.	Ich möchte einige Worte sagen.
I'll be as quiet as a mouse.	Ich werde mucksmäuschenstill sein.
I'll be coming back tonight.	Heute Abend komme ich wieder.
I'll be in the waiting room.	Ich bin dann im Wartezimmer.
I'll mail this letter today.	Ich werde diesen Brief heute abschicken.
I'll peel an orange for you.	Ich schäle eine Orange für dich.
I'm glad that we left early.	Ich bin froh, dass wir früh weggegangen sind.
I'm glad you know the truth.	Ich bin froh, dass Sie die Wahrheit kennen.
I'm going to check upstairs.	Ich sehe oben nach.
I'm going to give it to you.	Ich werde es dir geben.
I'm not going to let you go.	Ich werde euch nicht gehen lassen.
I'm not sure if Tom will go.	Ich bin mir nicht sicher, ob Tom geht.
I'm seeing her this evening.	Ich treffe mich heute Abend mit ihr.
I'm still looking for a job.	Ich suche noch Arbeit.
I'm well aware of the facts.	Ich bin mir der Tatsachen wohlbewusst.
I've got to get to the bank.	Ich muss unbedingt zur Bank.
In October, I was in Boston.	Im Oktober war ich in Boston.
Is Tom allergic to anything?	Ist Tom gegen irgendetwas allergisch?
Is eating fish good for you?	Ist Fisch essen gut für dich?
It has had no effect on him.	Es hat keine Auswirkung auf ihn gehabt.
It looks as if you're right.	Ihr scheint recht zu haben.
It was not an easy decision.	Es war keine leichte Entscheidung.
It's great to have a family.	Es ist schön, eine Familie zu haben.
It's quite a ways from here.	Es ist recht weit von hier.
It's your problem, not mine.	Das ist dein Problem, nicht meines.
Let's talk shop for a while.	Lass uns ein bisschen fachsimpeln.
Look what you've done to me.	Seht nur, was ihr mir angetan habt!
Make yourselves comfortable.	Machen Sie es sich bequem.
Mary is like a sister to me.	Maria ist für mich wie eine Schwester.
Mary made Alice a new dress.	Maria nähte Elke ein neues Kleid.
May I have a glass of water?	Könnte ich ein Glas Wasser haben?
My father has gone to China.	Mein Vater ist nach China gegangen.
My father is a heavy smoker.	Mein Vater ist ein starker Raucher.
My friend is really a clown.	Mein Freund ist wirklich ein Clown.
My grandmother was a farmer.	Meine Großmutter war eine Bäuerin.
My joke went over very well.	Mein Witz ist sehr gut angekommen.
My mother made me a sweater.	Meine Mutter hat mir einen Pullover gemacht.
My muscles have gotten soft.	Meine Muskeln sind schlaff geworden.
My schedule is rather tight.	Mein Zeitplan ist ziemlich voll.
My sister's getting married.	Meine Schwester heiratet demnächst.
Nobody had ever heard of it.	Keiner hatte davon je gehört.
Nobody wants you to do that.	Keiner möchte, dass ihr das macht.
Nobody wants you to do this.	Niemand möchte, dass ihr das macht.
Nothing happened between us.	Zwischen uns ist nichts passiert.
Ogai is his favorite author.	Ogai ist sein Lieblingsschriftsteller.
One day Tom will understand.	Eines Tages wird Tom es verstehen.
Please don't worry about me.	Macht euch um mich bitte keine Sorgen!
Please sit down on the sofa.	Bitte nimm auf dem Sofa Platz.
Please tell Tom Mary called.	Bitte sag Tom, dass Maria angerufen hat.
Put your reading glasses on.	Setz deine Lesebrille auf.
Say goodbye to your friends.	Verabschiede dich von deinen Freunden!
She accepted our invitation.	Sie nahm unsere Einladung an.
She can play the piano well.	Sie kann gut Klavier spielen.
She dressed herself quickly.	Sie zog sich schnell an.
She gave me these old coins.	Sie hat mir diese alten Münzen geschenkt.
She is hungry for affection.	Sie sehnt sich nach Zuneigung.
She is used to living alone.	Sie ist es gewohnt, allein zu leben.
She made a new suit for him.	Sie hat ihm einen neuen Anzug angefertigt.
She said that she was happy.	Sie sagte, sie sei glücklich.
She's much happier than him.	Sie ist viel glücklicher als er.
Singing is her strong point.	Singen ist ihre Stärke.
Smoking in bed is dangerous.	Rauchen im Bett ist gefährlich.
Smoking is not allowed here.	Rauchen ist hier nicht erlaubt.
Some people don't like that.	Einigen Leuten gefällt das nicht.
Someone tried to poison Tom.	Es hat einer versucht, Tom zu vergiften.
Stop cracking your knuckles.	Hör auf, mit den Knöcheln zu knacken!
Take whichever one you want.	Nimm, welche du willst.
Tell me all about your plan.	Sagt mir alles über euren Plan.
Tell me how that's possible.	Sag mir, wie das möglich ist!
Tell me more about yourself.	Berichten Sie mir mehr über sich.
That person is a programmer.	Der da ist Programmierer.
That room is not very large.	Dieses Zimmer ist nicht sehr groß.
That sounds too complicated.	Das hört sich zu kompliziert an.
That town is two miles away.	Jene Stadt ist zwei Meilen entfernt.
That was a fun conversation.	Das war ein witziges Gespräch.
That was a very good speech.	Das war eine sehr gute Rede.
That's not what I asked you.	Danach habe ich Sie nicht gefragt.
That's not what I asked you.	Danach habe ich euch nicht gefragt.
That's the only possibility.	Das ist die einzige Möglichkeit.
That's very generous of you.	Das ist sehr großzügig von Ihnen.
The animal died from hunger.	Das Tier verhungerte.
The beautiful woman is kind.	Die hübsche Frau ist nett.
The blind men walked slowly.	Der Blinde ging langsam.
The corporal is on furlough.	Der Stabsgefreite ist auf Heimaturlaub.
The days are getting longer.	Die Tage werden länger.
The days are growing longer.	Die Tage werden länger.
The floods ruined the crops.	Das Hochwasser verdarb die Ernte.
The goods arrived yesterday.	Die Ware kam gestern an.
The museum is worth a visit.	Das Museum ist sehenswert.
The negotiations have ended.	Die Verhandlungen sind vorbei.
There are still empty seats.	Es gibt noch freie Plätze.
There is a hole in his sock.	Er hat ein Loch in der Socke.
There was no way to hide it.	Man konnte es einfach nicht verbergen.
There's a lot of water left.	Es ist noch viel Wasser da.
These oranges are very sour.	Diese Apfelsinen sind sehr sauer.
They appointed him chairman.	Sie ernannten ihn zum Vorsitzenden.
They laughed at his mistake.	Sie lachten über seinen Fehler.
They painted their toenails.	Sie haben sich die Fußnägel lackiert.
They're quicker than we are.	Sie sind schneller als wir.
This is the last train, sir.	Dies ist der letzte Zug, mein Herr.
This is usually unnecessary.	Das ist für gewöhnlich gar nicht notwendig.
This job is too much for me.	Diese Arbeit überfordert mich.
This time you must go there.	Diesmal müssen Sie dorthin gehen.
Those are my sister's books.	Diese Bücher gehören meiner Schwester.
Tom bailed Mary out of jail.	Tom holte Mary gegen Kaution aus dem Gefängnis.
Tom brought a gift for Mary.	Tom hat Mary ein Geschenk mitgebracht.
Tom can't speak much French.	Tom spricht nicht viel Französisch.
Tom certainly fooled us all.	Tom hat uns allesamt genasführt.
Tom didn't tell me anything.	Tom hat mir nichts gesagt.
Tom didn't tell me her name.	Tom hat mir ihren Namen nicht verraten.
Tom didn't work last Monday.	Tom hat letzten Montag nicht gearbeitet.
Tom doesn't do that anymore.	Tom tut das nicht mehr.
Tom doesn't look very happy.	Tom sieht nicht allzu glücklich aus.
Tom drank some orange juice.	Tom trank Apfelsinensaft.
Tom eats too much junk food.	Tom nimmt zu viel Minderkost zu sich.
Tom forgot his grocery list.	Tom hatte seinen Einkaufszettel vergessen.
Tom gave Mary John's number.	Tom gab Mary Johns Nummer.
Tom got run over by a truck.	Tom wurde von einem Lastwagen überfahren.
Tom had long hair last year.	Letztes Jahr hatte Tom lange Haare.
Tom had nothing left to eat.	Tom hatte nichts mehr zu essen.
Tom has a lot of will power.	Tom verfügt über viel Willenskraft.
Tom has a scar on his cheek.	Tom hat eine Narbe auf der Wange.
Tom has dyed his hair black.	Tom hat sich die Haare schwarz gefärbt.
Tom has to change his shirt.	Tom muss das Hemd wechseln.
Tom hates it when it's cold.	Tom hasst es, wenn es kalt ist.
Tom is a really good worker.	Tom ist wirklich ein guter Arbeiter.
Tom is hiding in the closet.	Tom versteckt sich im Schrank.
Tom is in his late thirties.	Tom ist Ende dreißig.
Tom is in his room sleeping.	Tom ist in seinem Zimmer und schläft.
Tom is older than you think.	Tom ist älter, als du denkst.
Tom is pretty much finished.	Tom ist fast fertig.
Tom isn't very good-looking.	Tom sieht nicht sehr gut aus.
Tom knows that I'm Canadian.	Tom weiß, dass ich Kanadierin bin.
Tom leaned against the wall.	Tom lehnte an der Wand.
Tom loafed around the house.	Tom lungerte im Haus herum.
Tom loses his temper easily.	Tom verliert leicht die Beherrschung.
Tom loves playing the piano.	Tom liebt es, Klavier zu spielen.
Tom made the children laugh.	Tom brachte die Kinder zum Lachen.
Tom must've seen Mary there.	Tom muss Maria dort gesehen haben.
Tom pushed me into the pool.	Tom hat mich ins Schwimmbecken geschubst.
Tom put his glasses back on.	Tom setzte seine Brille wieder auf.
Tom refilled his coffee cup.	Tom füllte seine Kaffeetasse wieder auf.
Tom said he didn't know you.	Tom sagte, er kenne dich nicht.
Tom said he'd call tomorrow.	Tom sagte, er rufe morgen an.
Tom said that he was hungry.	Tom sagte, dass er Hunger habe.
Tom seemed to be illiterate.	Tom schien Analphabet zu sein.
Tom seemed to be unfriendly.	Tom schien unfreundlich zu sein.
Tom seems to always be busy.	Tom scheint ständig beschäftigt zu sein.
Tom told Mary a funny story.	Tom erzählte Maria eine lustige Geschichte.
Tom tossed the ball to Mary.	Tom warf Maria den Ball zu.
Tom used to be our handyman.	Tom war unser Handwerker.
Tom wants to study medicine.	Tom möchte Medizin studieren.
Tom was completely clueless.	Tom hatte überhaupt keine Ahnung.
Tom was put up for adoption.	Tom wurde zur Adoption freigegeben.
Tom was struck by lightning.	Tom wurde vom Blitz getroffen.
Tom was suddenly very happy.	Mit einem Mal war Tom sehr glücklich.
Tom will tell you the truth.	Tom wird dir die Wahrheit sagen.
Tom works for Scotland Yard.	Tom arbeitet bei Scotland Yard.
Tom works from nine to five.	Tom arbeitet von neun bis fünf.
Tom's parents are both dead.	Beide Elternteile von Tom sind tot.
Traffic was at a standstill.	Der Verkehr stand still.
Wait here until we get back.	Wartet hier, bis wir wiederkommen.
We bought this in Australia.	Wir haben das in Australien gekauft.
We didn't have school today.	Wir hatten heute keine Schule.
We haven't thought about it.	Wir haben es uns nicht überlegt.
We want our kids to be safe.	Wir wollen, dass unsere Kinder sicher sind.
We were both a little drunk.	Wir waren alle beide ein wenig betrunken.
We were scared and confused.	Wir waren verängstigt und verwirrt.
We were very busy last week.	Wir waren in der letzten Woche sehr beschäftigt.
We'll do what we have to do.	Wir werden tun, was wir tun müssen.
We'll have to do this later.	Das müssen wir dann später machen.
We're pretty busy right now.	Wir haben gerade ziemlich viel zu tun.
What are you hiding from me?	Was versteckst du vor mir?
What are you most scared of?	Wovor fürchtest du dich am meisten?
What did Tom ever do to you?	Was hat Tom euch je getan?
What do you expect me to do?	Was soll ich deiner Meinung nach tun?
What do you expect me to do?	Was erwartest du denn von mir?
What do you find so amusing?	Was findest du so belustigend?
What do you want to tell us?	Was willst du uns sagen?
What does Tom do on Mondays?	Was macht Tom montags?
What impressed you the most?	Was hat dich am meisten beeindruckt?
What is it you're afraid of?	Wovor fürchten Sie sich?
What time should I check in?	Um wie viel Uhr soll ich einchecken?
What type of person are you?	Was für ein Mensch bist du?
What we need now is a break.	Jetzt brauchen wir eine Pause.
What were you hoping to see?	Was haben Sie sich zu sehen erhofft?
When did you join the force?	Wann bist du in die Armee eingetreten?
When he heard it, he jumped.	Als er das hörte, sprang er.
When's that going to happen?	Wann geht's los?
Where do I claim my baggage?	Wo ist die Gepäckausgabe?
Where in Turkey do you live?	Wo in der Türkei wohnen Sie?
Where is the emergency exit?	Wo ist der Notausgang?
Where is the lost and found?	Wo ist das Fundbüro?
Which browser are you using?	Welchen Browser benutzt ihr?
Which browser are you using?	Welchen Netzgucker gebrauchst du?
Who is your favorite author?	Wer ist Ihr Lieblingsschriftsteller?
Who's your favorite blogger?	Wer ist Ihr Lieblings-Blogger?
Why are you doing that, Tom?	Warum tust du das, Tom?
Why are you showing me this?	Warum zeigen Sie mir das?
Why are you telling us this?	Warum erzählst du uns das?
Why aren't you taking notes?	Warum machst du dir keine Notizen?
Why did you need a chainsaw?	Wozu haben Sie eine Kettensäge gebraucht?
Why didn't you ever tell me?	Warum hast du mir das nie gesagt?
Why doesn't Tom like Boston?	Warum gefällt es Tom nicht in Boston?
Why should I care about Tom?	Was kümmert mich Tom?
Why would I do such a thing?	Wozu würde ich so etwas machen?
Will there be anything else?	Wird es dort noch etwas anderes geben?
Would you care for some tea?	Hätten Sie gerne etwas Tee?
You can invite other people.	Du kannst andere Leute einladen.
You freaked out, didn't you?	Sie sind ausgeflippt, nicht wahr?
You go to school, don't you?	Du gehst zur Schule, oder?
You have to let me help you.	Ihr müsst mich euch helfen lassen.
You just stepped on my foot.	Du bist mir gerade auf den Fuß gestiegen.
You look a bit better today.	Du siehst heute ein bisschen besser aus.
You look as healthy as ever.	Du siehst so gesund aus wie immer.
You must be new around here.	Du bist wohl neu hier in der Gegend.
You must do as you are told.	Du musst tun, was man dir gesagt hat.
You must study English hard.	Du musst fleißig Englisch lernen.
You must study grammar more.	Du musst mehr Grammatik lernen.
You never come over anymore.	Ihr kommt überhaupt nicht mehr vorbei.
You picked the wrong person.	Du hast dir die Falsche ausgesucht.
You should help your father.	Du solltest deinem Vater helfen.
You should've left it to me.	Ihr hättet es mir überlassen sollen.
You'll find out soon enough.	Du wirst es schon früh genug erfahren.
You're avoiding my question.	Du weichst meiner Frage aus.
You're lucky Tom helped you.	Du hast aber Glück, dass Tom dir geholfen hat.
You're making me waste time.	Sie sind schuld, dass ich meine Zeit verschwende.
You're not the one who died.	Du bist nicht derjenige, der gestorben ist.
You're wanted by the police.	Du wirst von der Polizei gesucht.
You've done so much already.	Ihr habt schon so viel getan.
Your education is important.	Ihre Ausbildung ist wichtig.
Your education is important.	Eure Ausbildung ist wichtig.
A good horse knows its rider.	Ein gutes Pferd kennt seinen Reiter.
All men are equal before God.	Vor Gott sind alle Menschen gleich.
All the world speaks English.	Überall auf der Welt spricht man Englisch.
Are you going to buy the car?	Wirst du das Auto kaufen?
Are you looking for somebody?	Suchst du jemanden?
Aren't you going to miss Tom?	Wirst du Tom nicht vermissen?
Can you speak louder, please?	Könntest du bitte lauter sprechen?
Can you tell me what this is?	Kannst du mir sagen, was das ist?
Can you tell the twins apart?	Kannst du bei den Zwillingen sagen, wer wer ist?
Cats like playing in the sun.	Katzen spielen gerne in der Sonne.
Children like climbing trees.	Kinder klettern gern auf Bäume.
Children should go to school.	Kinder müssen zur Schule gehen.
Cholera is uncommon in Japan.	Cholera ist in Japan nicht verbreitet.
Come on, Tom, think about it.	Komm schon, Tom, denk darüber nach.
Could I see you for a moment?	Könnte ich euch mal kurz sprechen?
Did I forget to mention that?	Habe ich vergessen, das zu erwähnen?
Did you enjoy the exhibition?	Hat Ihnen die Ausstellung gefallen?
Did you have a pleasant trip?	Hattest du eine angenehme Reise?
Do we know for sure it's Tom?	Wissen wir mit Sicherheit, dass es sich um Tom handelt?
Do you know how to cook fish?	Wissen Sie, wie man Fisch kocht?
Do you really want to change?	Willst du dich wirklich verändern?
Do you think I'm that stupid?	Denkst du, ich bin blöd?
Do you think you can fool me?	Glaubst du, du kannst mich an der Nase herumführen?
Do you want a glass of water?	Möchten Sie ein Glas Wasser?
Do you want something to eat?	Willst du etwas essen?
Do you want to dance with me?	Willst du mit mir tanzen?
Does Tom still owe you money?	Schuldet Tom Ihnen immer noch Geld?
Does your wife know all this?	Weiß Ihre Frau das alles?
Don't forget your ice skates.	Vergessen Sie Ihre Schlittschuhe nicht!
Don't tell me you're jealous.	Erzähl mir nicht, dass du eifersüchtig bist!
Don't throw away your chance.	Wirf deine Chance nicht einfach so weg!
Don't you see the connection?	Sehen Sie nicht den Zusammenhang?
Every crime must be punished.	Jedes Verbrechen muss bestraft werden.
Everyone knows everyone else.	Jeder kennt jeden.
Everyone looked at Tom again.	Alle schauten Tom wieder an.
Fill it with regular, please.	Bitte füllen Sie den Tank mit Normal.
Fold the paper in the middle.	Falte das Blatt in der Mitte.
Has anybody seen my beer mug?	Hat jemand meinen Bierkrug gesehen?
Have you been in Boston long?	Sind Sie schon lange in Boston?
Have you found something out?	Habt ihr etwas herausgefunden?
He began to play an old song.	Er begann ein altes Lied zu spielen.
He believes every word I say.	Er glaubt jedes meiner Worte.
He changed schools last year.	Er hat letztes Jahr die Schule gewechselt.
He did what I told him to do.	Er tat, was ich ihm auftrug.
He doesn't live here anymore.	Er wohnt hier nicht mehr.
He had a lot of things to do.	Er hatte viel zu tun.
He is every inch a gentleman.	Er ist durch und durch ein feiner Herr.
He is taller than his father.	Er ist größer als sein Vater.
He must be severely punished.	Er muss streng bestraft werden.
He pretended to be my friend.	Er tat so, als wäre er mein Freund.
He ran away with the diamond.	Er rannte mit dem Diamanten davon.
He resembles his grandfather.	Er kommt nach seinem Großvater.
He used to bully his friends.	Er hat seine Freunde früher immer geärgert.
He was beaten black and blue.	Er wurde grün und blau geschlagen.
He will come if you call him.	Er wird kommen, wenn du ihn anrufst.
He's accustomed to traveling.	Er ist es gewohnt zu reisen.
He's two years older than me.	Er ist zwei Jahre älter als ich.
Her sister lives in Scotland.	Ihre Schwester lebt in Schottland.
His name is well known to us.	Sein Name ist uns wohlbekannt.
How did you come to know her?	Wie hast du sie kennengelernt?
How far is it to the airport?	Wie weit ist es zum Flughafen?
I appreciate all your advice.	Ich danke dir für all deinen Rat!
I arrived in Tokyo yesterday.	Ich bin gestern in Tokio angekommen.
I believe that she is honest.	Ich glaube, dass sie ehrlich ist.
I came in through the window.	Ich kam zum Fenster herein.
I can teach you how to shoot.	Ich kann dir beibringen, wie man schießt.
I can teach you how to steal.	Ich kann dich lehren, wie man stiehlt.
I couldn't resist doing that.	Ich musste das einfach tun.
I didn't do well on the test.	Ich habe bei der Klassenarbeit nicht gut abgeschnitten.
I didn't hear my alarm clock.	Ich habe meinen Wecker überhört.
I don't like opera very much.	Opern mag ich nicht sehr.
I don't like your girlfriend.	Ich mag deine Freundin nicht.
I don't need glasses anymore.	Ich brauche keine Brille mehr.
I don't want to play anymore.	Ich will nicht mehr spielen.
I don't work for you anymore.	Ich arbeite nicht mehr für Sie.
I drink a lot of fruit juice.	Ich trinke viel Fruchtsaft.
I have a black and white dog.	Ich habe einen schwarzweißen Hund.
I have a dentist appointment.	Ich habe einen Zahnarzttermin.
I have to ask Tom a question.	Ich muss Tom eine Frage stellen.
I have to get ready for work.	Ich muss mich für die Arbeit fertig machen.
I have to study for the test.	Ich muss für die Prüfung lernen.
I have to tell you the truth.	Ich muss dir die Wahrheit sagen.
I haven't seen Tom for years.	Ich habe Tom schon seit Jahren nicht mehr gesehen.
I just need to rest a little.	Ich muss mich nur etwas ausruhen.
I know that Tom is dishonest.	Ich weiß, dass Tom unehrlich ist.
I must go. It's getting dark.	Ich muss gehen. Es wird schon dunkel.
I read this in the newspaper.	Ich habe es in der Zeitung gelesen.
I reconsidered your proposal.	Ich habe über euren Vorschlag noch einmal nachgedacht.
I should've become a teacher.	Ich hätte Lehrerin werden sollen.
I should've known it was you.	Ich hätte mir denken können, dass Sie es waren.
I simply don't understand it.	Ich verstehe es einfach nicht.
I think I'll give that a try.	Ich denke, das werde ich mal probieren.
I think I'll like being here.	Ich denke, ich werde gerne hier sein.
I think Tom worries too much.	Ich finde, Tom macht sich zu viele Sorgen.
I think that Tom should stay.	Ich denke, dass Tom bleiben sollte.
I think this is a good thing.	Ich denke, das ist eine gute Sache.
I think we have enough money.	Ich glaube, wir haben genug Geld.
I think we made a wrong turn.	Ich glaube, wir sind falsch abgebogen.
